id,role,type,description,size/ratio,style line ref,source
koala-neutral,player idle state,static sprite,neutral koala maze portrait,1:1,approved 404 style formula,reference_media[0]
koala-scared,player hover and caught state,static sprite,scared koala maze portrait,1:1,approved 404 style formula,reference_media[1]
koala-happy,player win state,static sprite,happy koala maze portrait,1:1,approved 404 style formula,reference_media[2]
koala-dead,player final-loss state,static sprite,extremely sad defeated koala maze portrait,1:1,approved 404 style formula,reference_media[3]
404-maze,playfield and collision map,procedural tile layout,heuristic-scored arcade maze with fourteen distributed shortcut junctions and weird branching routes around a literal 404 made only from separately outlined electric-blue collision bricks with the zero as the regeneration pen,21:15,approved 404 style formula,generate
maze-wall,maze obstacle and power feedback,procedural repeating tile,beveled BSOD-blue brick with neon surge,1:1,approved 404 style formula,generate
maze-pickups,score and power pickups,procedural UI,signal pellets Vegemite jar meat pie avocado banana and cherries,1:1,approved 404 style formula,generate
eucalyptus-escape,goal portal and win landmark,static sprite,majestic pale-barked eucalyptus and clear sky revealed through an irregular torn-paper frame,1:1,approved 404 style formula,reference_media[4]
kernel-predators,autonomous hazards,procedural sprite,ground-prowling dingo and circling then swooping wedge-tailed eagle predator masks,1:1,approved 404 style formula,generate
nt31-stop-panel,left crash diagnostic,procedural UI,Windows NT 3.1 character-mode bug-check register and module dump,3:5,approved 404 style formula,generate
crt-phosphor-overlay,life-loss damage feedback,procedural repeating overlay,subtle pale phosphor scanlines that tighten and brighten after each lost life,fullscreen,approved 404 style formula,generate
